gate_mode,family,transform,severity,acc,auc,ap,ece,mean_gate,mean_severity
learned,jpeg,jpeg_q30,1.0,0.6575,0.760425,0.7379721641421952,0.11504125974373891,0.9855023787915707,1.0
learned,blur,blur_s0.5,0.35,0.6825,0.798325,0.7707795334804812,0.05730975818121806,0.9863276064395905,0.35
learned,blur,blur_s1.0,0.7,0.7175,0.85775,0.8339539232497779,0.07225669791689142,0.9861692626774311,0.7
learned,blur,blur_s2.0,1.0,0.3025,0.23435,0.3536497461948093,0.42508615369908515,0.9882056917250156,1.0
learned,resize,resize_x0.5,0.55,0.655,0.78145,0.7372809741258195,0.08787470217095687,0.9868043005466461,0.5499999999999998
learned,resize,resize_x0.25,1.0,0.4225,0.401225,0.41921312136385286,0.2933733442146331,0.9872757643461227,1.0
learned,noise,noise_s0.02,0.3,0.685,0.7836000000000001,0.781258145484987,0.057822831650264535,0.9853214779496193,0.29999999999999993
learned,noise,noise_s0.05,0.65,0.64,0.711025,0.7314051541583473,0.07068218021653591,0.9850389528274536,0.6500000000000001
learned,noise,noise_s0.1,1.0,0.5825,0.6248750000000001,0.6535271578841904,0.11295774497091769,0.985132093578577,1.0
learned,color_jitter,color_jitter,0.25,0.5925,0.6461999999999999,0.6213162690680669,0.12462637543212624,0.9866396141052246,0.25
learned,center_crop,center_crop,0.2,0.7275,0.8803000000000001,0.8607368129516295,0.0640660643996671,0.9861005777120591,0.2
learned,screenshot,screenshot_92_90,0.45,0.715,0.862575,0.8368542870667722,0.0714472375670448,0.9858005158603191,0.4500000000000001
learned,screenshot,screenshot_85_75,0.7,0.71,0.875875,0.8658493074632847,0.07541073337197306,0.985501818805933,0.7
learned,screenshot,screenshot_75_60,0.9,0.7025,0.9202,0.9115521117959268,0.09430472719366663,0.9853082321584224,0.9000000000000002
